#,Actual_Shipping_(列),Actual_Shipping_(項目名),Digital_raw_data.xlsx(列),Digital_raw_data.xlsx(項目名),備考
1,D列,Unit,F列,SHIP units,
2,L列,Scatch,H列,Sameday,
3,T列,Next,I列,Knato Next,
4,AB列,Convenience,J列,Konbini Units,
5,AR列＋AV列,Other,K列,Gift total Units,2列合算
6,AZ列,Gift,L列,Pack List,
